Time(s),Pressure,Temperature,inH2O to Pa,Pa to m/s,m/s to mph
2.084,0.04,39.71,0.0099536,3.974841516,8.891481981
2.122,0.04,39.71,0.0099536,3.974841516,8.891481981
2.159,0.04,39.71,0.0099536,3.974841516,8.891481981
2.197,0.04,39.71,0.0099536,3.974841516,8.891481981
2.234,0.04,39.71,0.0099536,3.974841516,8.891481981
2.272,0.04,39.71,0.0099536,3.974841516,8.891481981
2.31,0.04,39.71,0.0099536,3.974841516,8.891481981
2.347,0.04,39.71,0.0099536,3.974841516,8.891481981
2.384,0.04,39.71,0.0099536,3.974841516,8.891481981
2.421,0.04,39.71,0.0099536,3.974841516,8.891481981
2.459,0.04,39.71,0.0099536,3.974841516,8.891481981
2.496,0.04,39.71,0.0099536,3.974841516,8.891481981
2.534,0.05,39.71,0.012442,4.444007915,9.940979066
2.571,0.05,39.71,0.012442,4.444007915,9.940979066
2.609,0.04,39.71,0.0099536,3.974841516,8.891481981
2.649,0.04,39.71,0.0099536,3.974841516,8.891481981
2.683,0.04,39.71,0.0099536,3.974841516,8.891481981
2.721,0.04,39.71,0.0099536,3.974841516,8.891481981
2.758,0.05,39.71,0.012442,4.444007915,9.940979066
2.796,0.04,39.71,0.0099536,3.974841516,8.891481981
2.833,0.04,39.71,0.0099536,3.974841516,8.891481981
2.871,0.05,39.71,0.012442,4.444007915,9.940979066
2.908,0.05,39.71,0.012442,4.444007915,9.940979066
2.946,0.05,39.71,0.012442,4.444007915,9.940979066
2.983,0.05,39.71,0.012442,4.444007915,9.940979066
3.02,0.05,39.71,0.012442,4.444007915,9.940979066
3.067,0.05,39.71,0.012442,4.444007915,9.940979066
3.102,0.05,39.71,0.012442,4.444007915,9.940979066
3.136,0.05,39.71,0.012442,4.444007915,9.940979066
3.171,0.05,39.71,0.012442,4.444007915,9.940979066
3.208,0.05,39.71,0.012442,4.444007915,9.940979066
3.246,0.05,39.71,0.012442,4.444007915,9.940979066
3.282,0.05,39.71,0.012442,4.444007915,9.940979066
3.32,0.05,39.71,0.012442,4.444007915,9.940979066
3.357,0.04,39.71,0.0099536,3.974841516,8.891481981
3.395,0.05,39.71,0.012442,4.444007915,9.940979066
3.432,0.04,39.71,0.0099536,3.974841516,8.891481981
3.47,0.04,39.71,0.0099536,3.974841516,8.891481981
3.507,0.04,39.71,0.0099536,3.974841516,8.891481981
3.545,0.04,39.71,0.0099536,3.974841516,8.891481981
3.582,0.04,39.71,0.0099536,3.974841516,8.891481981
3.619,0.04,39.71,0.0099536,3.974841516,8.891481981
3.657,0.03,39.71,0.0074652,3.442313729,7.700249273
3.694,0.04,39.71,0.0099536,3.974841516,8.891481981
3.732,0.04,39.71,0.0099536,3.974841516,8.891481981
3.769,0.04,39.71,0.0099536,3.974841516,8.891481981
3.807,0.04,39.71,0.0099536,3.974841516,8.891481981
3.846,0.04,39.71,0.0099536,3.974841516,8.891481981
3.881,0.04,39.71,0.0099536,3.974841516,8.891481981
3.919,0.04,39.71,0.0099536,3.974841516,8.891481981
3.956,0.04,39.71,0.0099536,3.974841516,8.891481981
3.994,0.04,39.71,0.0099536,3.974841516,8.891481981
4.031,0.04,39.71,0.0099536,3.974841516,8.891481981
4.069,0.04,39.71,0.0099536,3.974841516,8.891481981
4.107,0.04,39.71,0.0099536,3.974841516,8.891481981
4.144,0.04,39.71,0.0099536,3.974841516,8.891481981
4.182,0.04,39.71,0.0099536,3.974841516,8.891481981
4.218,0.04,39.71,0.0099536,3.974841516,8.891481981
4.256,0.04,39.71,0.0099536,3.974841516,8.891481981
4.293,0.04,39.71,0.0099536,3.974841516,8.891481981
4.331,0.04,39.71,0.0099536,3.974841516,8.891481981
4.368,0.04,39.71,0.0099536,3.974841516,8.891481981
4.406,0.04,39.71,0.0099536,3.974841516,8.891481981
4.444,0.04,39.71,0.0099536,3.974841516,8.891481981
4.481,0.04,39.71,0.0099536,3.974841516,8.891481981
4.518,0.04,39.71,0.0099536,3.974841516,8.891481981
4.555,0.04,39.71,0.0099536,3.974841516,8.891481981
4.593,0.04,39.71,0.0099536,3.974841516,8.891481981
4.63,0.04,39.71,0.0099536,3.974841516,8.891481981
4.668,0.04,39.71,0.0099536,3.974841516,8.891481981
4.706,0.04,39.71,0.0099536,3.974841516,8.891481981
4.743,0.04,39.71,0.0099536,3.974841516,8.891481981
4.781,0.04,39.71,0.0099536,3.974841516,8.891481981
4.817,0.04,39.71,0.0099536,3.974841516,8.891481981
4.855,0.03,39.71,0.0074652,3.442313729,7.700249273
4.892,0.04,39.71,0.0099536,3.974841516,8.891481981
4.93,0.04,39.71,0.0099536,3.974841516,8.891481981
4.967,0.04,39.71,0.0099536,3.974841516,8.891481981
5.005,0.04,39.71,0.0099536,3.974841516,8.891481981
5.045,0.05,39.71,0.012442,4.444007915,9.940979066
5.08,0.05,39.71,0.012442,4.444007915,9.940979066
5.117,0.06,39.71,0.0149304,4.868166762,10.88979696
5.154,0.05,39.71,0.012442,4.444007915,9.940979066
5.192,0.05,39.71,0.012442,4.444007915,9.940979066
5.229,0.05,39.71,0.012442,4.444007915,9.940979066
5.267,0.05,39.71,0.012442,4.444007915,9.940979066
5.304,0.05,39.71,0.012442,4.444007915,9.940979066
5.342,0.05,39.71,0.012442,4.444007915,9.940979066
5.38,0.06,39.71,0.0149304,4.868166762,10.88979696
5.416,0.06,39.71,0.0149304,4.868166762,10.88979696
5.454,0.05,39.71,0.012442,4.444007915,9.940979066
5.491,0.05,39.71,0.012442,4.444007915,9.940979066
5.529,0.05,39.71,0.012442,4.444007915,9.940979066
5.566,0.05,39.71,0.012442,4.444007915,9.940979066
5.604,0.04,39.71,0.0099536,3.974841516,8.891481981
5.642,0.04,39.71,0.0099536,3.974841516,8.891481981
5.679,0.04,39.71,0.0099536,3.974841516,8.891481981
5.716,0.04,39.71,0.0099536,3.974841516,8.891481981
5.753,0.04,39.71,0.0099536,3.974841516,8.891481981
5.791,0.05,39.71,0.012442,4.444007915,9.940979066
5.828,0.05,39.71,0.012442,4.444007915,9.940979066
5.866,0.05,39.71,0.012442,4.444007915,9.940979066
5.903,0.05,39.71,0.012442,4.444007915,9.940979066
5.941,0.04,39.71,0.0099536,3.974841516,8.891481981
5.979,0.04,39.71,0.0099536,3.974841516,8.891481981
6.016,0.04,39.71,0.0099536,3.974841516,8.891481981
6.053,0.04,39.71,0.0099536,3.974841516,8.891481981
6.09,0.04,39.71,0.0099536,3.974841516,8.891481981
6.128,0.03,39.71,0.0074652,3.442313729,7.700249273
6.165,0.03,39.71,0.0074652,3.442313729,7.700249273
6.203,0.03,39.71,0.0074652,3.442313729,7.700249273
6.242,0.01,39.71,0.0024884,1.987420758,4.445740991
6.278,0,39.71,0,0,0
6.316,0.01,39.71,0.0024884,1.987420758,4.445740991
6.352,0.01,39.71,0.0024884,1.987420758,4.445740991
6.39,0.01,39.71,0.0024884,1.987420758,4.445740991
6.427,0,39.71,0,0,0
6.465,0,39.71,0,0,0
6.503,0,39.71,0,0,0
6.54,0,39.71,0,0,0
6.578,0.01,39.71,0.0024884,1.987420758,4.445740991
6.615,0,39.71,0,0,0
6.652,0,39.71,0,0,0
6.689,0,39.71,0,0,0
6.727,0,39.71,0,0,0
6.764,0,39.71,0,0,0
6.802,0,39.71,0,0,0
6.84,0,39.71,0,0,0
6.877,0,39.71,0,0,0
6.915,0,39.71,0,0,0
6.951,0,39.71,0,0,0
6.989,0,39.71,0,0,0
7.026,0,39.71,0,0,0
7.064,0,39.71,0,0,0
7.102,0,39.71,0,0,0
7.139,0,39.71,0,0,0
7.177,0,39.71,0,0,0
7.214,0,39.71,0,0,0
7.251,0,39.71,0,0,0
7.288,0,39.71,0,0,0
7.326,0,39.71,0,0,0
7.363,0,39.71,0,0,0
7.401,0,39.71,0,0,0
7.441,0,39.71,0,0,0
7.476,0,39.71,0,0,0
7.514,0,39.71,0,0,0
7.55,0,39.71,0,0,0
7.588,0,39.71,0,0,0
7.625,0,39.71,0,0,0
7.663,0,39.71,0,0,0
7.7,0,39.71,0,0,0
7.738,0,39.71,0,0,0
7.785,0,39.71,0,0,0
7.819,0,39.71,0,0,0
7.854,0,39.71,0,0,0
7.888,0,39.71,0,0,0
7.925,0,39.71,0,0,0
7.962,0,39.71,0,0,0
8,0,39.71,0,0,0
8.038,0,39.71,0,0,0
8.075,0,39.71,0,0,0
8.113,0,39.71,0,0,0
8.15,0,39.71,0,0,0
8.187,0,39.71,0,0,0
8.224,0,39.71,0,0,0
8.262,0,39.71,0,0,0
8.299,0,39.71,0,0,0
8.337,0,39.71,0,0,0
8.375,0.01,39.71,0.0024884,1.987420758,4.445740991
8.412,0.01,39.71,0.0024884,1.987420758,4.445740991
8.45,0,39.71,0,0,0
8.486,0,39.71,0,0,0
8.524,0,39.71,0,0,0
8.561,0,39.71,0,0,0
8.599,0.01,39.71,0.0024884,1.987420758,4.445740991
8.638,0.01,39.71,0.0024884,1.987420758,4.445740991
8.674,0,39.71,0,0,0
8.712,0,39.71,0,0,0
8.749,0.01,39.71,0.0024884,1.987420758,4.445740991
8.786,0.01,39.71,0.0024884,1.987420758,4.445740991
8.823,0,39.71,0,0,0
8.861,0,39.71,0,0,0
8.899,0,39.71,0,0,0
8.936,0,39.71,0,0,0
8.974,0,39.71,0,0,0
9.011,0,39.71,0,0,0
9.049,0,39.71,0,0,0
9.085,0,39.71,0,0,0
9.123,0.01,39.71,0.0024884,1.987420758,4.445740991
9.16,0,39.71,0,0,0
9.198,0,39.71,0,0,0
9.236,0,39.71,0,0,0
9.273,0.01,39.71,0.0024884,1.987420758,4.445740991
9.311,0,39.71,0,0,0
9.348,0.02,39.71,0.0049768,2.81063739,6.287227204
9.385,0,39.71,0,0,0
9.422,0.01,39.71,0.0024884,1.987420758,4.445740991
9.46,0.01,39.71,0.0024884,1.987420758,4.445740991
9.498,0,39.71,0,0,0
9.535,0.01,39.71,0.0024884,1.987420758,4.445740991
9.573,0.01,39.71,0.0024884,1.987420758,4.445740991
9.61,0.01,39.71,0.0024884,1.987420758,4.445740991
9.648,0,39.71,0,0,0
9.684,0.01,39.71,0.0024884,1.987420758,4.445740991
9.722,0.01,39.71,0.0024884,1.987420758,4.445740991
9.759,0,39.71,0,0,0
9.797,0.01,39.71,0.0024884,1.987420758,4.445740991
9.852,0.01,39.71,0.0024884,1.987420758,4.445740991
9.89,0.01,39.71,0.0024884,1.987420758,4.445740991
9.927,0.02,39.71,0.0049768,2.81063739,6.287227204
9.964,0,39.71,0,0,0
10.001,0.02,39.71,0.0049768,2.81063739,6.287227204
10.039,0.01,39.71,0.0024884,1.987420758,4.445740991
10.076,0.02,39.71,0.0049768,2.81063739,6.287227204
10.113,0.01,39.71,0.0024884,1.987420758,4.445740991
10.149,0.01,39.71,0.0024884,1.987420758,4.445740991
10.187,0.01,39.71,0.0024884,1.987420758,4.445740991
10.224,0,39.71,0,0,0
10.261,0.01,39.71,0.0024884,1.987420758,4.445740991
10.299,0,39.71,0,0,0
10.336,0,39.71,0,0,0
10.373,0.01,39.71,0.0024884,1.987420758,4.445740991
10.409,0.01,39.71,0.0024884,1.987420758,4.445740991
10.447,0.01,39.71,0.0024884,1.987420758,4.445740991
10.484,0.02,39.71,0.0049768,2.81063739,6.287227204
10.521,0,39.71,0,0,0
10.558,0.01,39.71,0.0024884,1.987420758,4.445740991
10.596,0,39.71,0,0,0
10.633,0,39.71,0,0,0
10.67,0,39.71,0,0,0
10.706,0.01,39.71,0.0024884,1.987420758,4.445740991
10.744,0,39.71,0,0,0
10.781,0,39.71,0,0,0
10.818,0,39.71,0,0,0
10.855,0,39.71,0,0,0
10.893,0,39.71,0,0,0
10.93,0.01,39.71,0.0024884,1.987420758,4.445740991
10.972,0,39.71,0,0,0
11.009,0,39.71,0,0,0
11.045,0,39.71,0,0,0
11.083,0.01,39.71,0.0024884,1.987420758,4.445740991
11.12,0.02,39.71,0.0049768,2.81063739,6.287227204
11.157,0.01,39.71,0.0024884,1.987420758,4.445740991
11.194,0.01,39.71,0.0024884,1.987420758,4.445740991
11.232,0.01,39.71,0.0024884,1.987420758,4.445740991
11.269,0,39.71,0,0,0
11.305,0,39.71,0,0,0
11.343,0,39.71,0,0,0
11.38,0,39.71,0,0,0
11.417,0,39.71,0,0,0
11.455,0,39.71,0,0,0
11.492,0,39.71,0,0,0
11.529,0,39.71,0,0,0
11.567,0,39.71,0,0,0
11.603,0,39.71,0,0,0
11.64,0.01,39.71,0.0024884,1.987420758,4.445740991
11.677,0,39.71,0,0,0
11.715,0,39.71,0,0,0
11.752,0,39.71,0,0,0
11.789,0.01,39.71,0.0024884,1.987420758,4.445740991
11.827,0,39.71,0,0,0
11.864,0,39.71,0,0,0
11.9,0,39.71,0,0,0
11.938,0.01,39.71,0.0024884,1.987420758,4.445740991
11.975,0.02,39.71,0.0049768,2.81063739,6.287227204
12.012,0.02,39.71,0.0049768,2.81063739,6.287227204
12.049,0.02,39.71,0.0049768,2.81063739,6.287227204
12.092,0.01,39.71,0.0024884,1.987420758,4.445740991
12.13,0,39.71,0,0,0
12.167,0,39.71,0,0,0
12.204,0.01,39.71,0.0024884,1.987420758,4.445740991
12.24,0.01,39.71,0.0024884,1.987420758,4.445740991
12.278,0.01,39.71,0.0024884,1.987420758,4.445740991
12.315,0,39.71,0,0,0
12.352,0,39.71,0,0,0
12.389,0.01,39.71,0.0024884,1.987420758,4.445740991
12.427,0,39.71,0,0,0
12.476,0,39.71,0,0,0
12.513,0.01,39.71,0.0024884,1.987420758,4.445740991
12.551,0.03,39.71,0.0074652,3.442313729,7.700249273
12.588,0.01,39.71,0.0024884,1.987420758,4.445740991
12.624,0.02,39.71,0.0049768,2.81063739,6.287227204
12.662,0.03,39.71,0.0074652,3.442313729,7.700249273
12.699,0.01,39.71,0.0024884,1.987420758,4.445740991
12.736,0.01,39.71,0.0024884,1.987420758,4.445740991
12.774,0,39.71,0,0,0
12.811,0,39.71,0,0,0
12.848,0,39.71,0,0,0
12.884,0,39.71,0,0,0
12.922,0.01,39.71,0.0024884,1.987420758,4.445740991
12.959,0.01,39.71,0.0024884,1.987420758,4.445740991
12.996,0,39.71,0,0,0
13.034,0.01,39.71,0.0024884,1.987420758,4.445740991
13.071,0.01,39.71,0.0024884,1.987420758,4.445740991
13.108,0.01,39.71,0.0024884,1.987420758,4.445740991
13.146,0.01,39.71,0.0024884,1.987420758,4.445740991
13.182,0.01,39.71,0.0024884,1.987420758,4.445740991
13.224,0.01,39.71,0.0024884,1.987420758,4.445740991
13.261,0,39.71,0,0,0
13.298,0.01,39.71,0.0024884,1.987420758,4.445740991
13.336,0.01,39.71,0.0024884,1.987420758,4.445740991
13.373,0,39.71,0,0,0
13.41,0.01,39.71,0.0024884,1.987420758,4.445740991
13.448,0,39.71,0,0,0
13.485,0,39.71,0,0,0
13.521,0,39.71,0,0,0
13.559,0.03,39.71,0.0074652,3.442313729,7.700249273
13.596,0.04,39.71,0.0099536,3.974841516,8.891481981
13.634,0.04,39.71,0.0099536,3.974841516,8.891481981
13.671,0.01,39.71,0.0024884,1.987420758,4.445740991
13.708,0.04,39.71,0.0099536,3.974841516,8.891481981
13.746,0.03,39.71,0.0074652,3.442313729,7.700249273
13.783,0.07,39.71,0.0174188,5.258221076,11.76232505
13.82,0.07,39.71,0.0174188,5.258221076,11.76232505
13.857,0.07,39.71,0.0174188,5.258221076,11.76232505
13.894,0.06,39.71,0.0149304,4.868166762,10.88979696
13.931,0.07,39.71,0.0174188,5.258221076,11.76232505
13.969,0.07,39.71,0.0174188,5.258221076,11.76232505
14.006,0.09,39.71,0.0223956,5.962262274,13.33722297
14.044,0.1,39.71,0.024884,6.284776265,14.05866742
14.081,0.1,39.71,0.024884,6.284776265,14.05866742
14.117,0.09,39.71,0.0223956,5.962262274,13.33722297
14.155,0.1,39.71,0.024884,6.284776265,14.05866742
14.192,0.07,39.71,0.0174188,5.258221076,11.76232505
14.229,0.08,39.71,0.0199072,5.621274781,12.57445441
14.267,0.09,39.71,0.0223956,5.962262274,13.33722297
14.304,0.09,39.71,0.0223956,5.962262274,13.33722297
14.341,0.08,39.71,0.0199072,5.621274781,12.57445441
14.384,0.1,39.71,0.024884,6.284776265,14.05866742
14.422,0.09,39.71,0.0223956,5.962262274,13.33722297
14.458,0.09,39.71,0.0223956,5.962262274,13.33722297
14.495,0.1,39.71,0.024884,6.284776265,14.05866742
14.532,0.11,39.71,0.0273724,6.591528955,14.74485478
14.57,0.11,39.71,0.0273724,6.591528955,14.74485478
14.607,0.11,39.71,0.0273724,6.591528955,14.74485478
14.644,0.11,39.71,0.0273724,6.591528955,14.74485478
14.682,0.1,39.71,0.024884,6.284776265,14.05866742
14.718,0.09,39.71,0.0223956,5.962262274,13.33722297
14.755,0.11,39.71,0.0273724,6.591528955,14.74485478
14.793,0.11,39.71,0.0273724,6.591528955,14.74485478
14.83,0.11,39.71,0.0273724,6.591528955,14.74485478
14.867,0.1,39.71,0.024884,6.284776265,14.05866742
14.905,0.1,39.71,0.024884,6.284776265,14.05866742
14.942,0.09,39.71,0.0223956,5.962262274,13.33722297
14.979,0.11,39.71,0.0273724,6.591528955,14.74485478
15.016,0.09,39.71,0.0223956,5.962262274,13.33722297
15.053,0.1,39.71,0.024884,6.284776265,14.05866742
15.09,0.11,39.71,0.0273724,6.591528955,14.74485478
15.127,0.11,39.71,0.0273724,6.591528955,14.74485478
15.165,0.11,39.71,0.0273724,6.591528955,14.74485478
15.202,0.11,39.71,0.0273724,6.591528955,14.74485478
15.239,0.1,39.71,0.024884,6.284776265,14.05866742
15.277,0.07,39.71,0.0174188,5.258221076,11.76232505
15.313,0.07,39.71,0.0174188,5.258221076,11.76232505
15.35,0.07,39.71,0.0174188,5.258221076,11.76232505
15.387,0.08,39.71,0.0199072,5.621274781,12.57445441
15.425,0.12,39.71,0.0298608,6.884627458,15.40049855
15.462,0.11,39.71,0.0273724,6.591528955,14.74485478
15.504,0.1,39.71,0.024884,6.284776265,14.05866742
15.541,0.09,39.71,0.0223956,5.962262274,13.33722297
15.578,0.09,39.71,0.0223956,5.962262274,13.33722297
15.616,0.09,39.71,0.0223956,5.962262274,13.33722297
15.652,0.09,39.71,0.0223956,5.962262274,13.33722297
15.689,0.11,39.71,0.0273724,6.591528955,14.74485478
15.727,0.12,39.71,0.0298608,6.884627458,15.40049855
15.764,0.11,39.71,0.0273724,6.591528955,14.74485478
15.801,0.11,39.71,0.0273724,6.591528955,14.74485478
15.839,0.12,39.71,0.0298608,6.884627458,15.40049855
15.876,0.13,39.71,0.0323492,7.165747449,16.0293471
15.912,0.14,39.71,0.0348376,7.43624756,16.63443962
15.95,0.13,39.71,0.0323492,7.165747449,16.0293471
15.987,0.12,39.71,0.0298608,6.884627458,15.40049855
16.024,0.13,39.71,0.0323492,7.165747449,16.0293471
16.062,0.14,39.71,0.0348376,7.43624756,16.63443962
16.099,0.15,39.71,0.037326,7.697247498,17.21828082
16.136,0.15,39.71,0.037326,7.697247498,17.21828082
16.174,0.15,39.71,0.037326,7.697247498,17.21828082
16.21,0.13,39.71,0.0323492,7.165747449,16.0293471
16.247,0.12,39.71,0.0298608,6.884627458,15.40049855
16.285,0.13,39.71,0.0323492,7.165747449,16.0293471
16.322,0.15,39.71,0.037326,7.697247498,17.21828082
16.359,0.15,39.71,0.037326,7.697247498,17.21828082
16.396,0.14,39.71,0.0348376,7.43624756,16.63443962
16.434,0.14,39.71,0.0348376,7.43624756,16.63443962
16.471,0.14,39.71,0.0348376,7.43624756,16.63443962
16.507,0.15,39.71,0.037326,7.697247498,17.21828082
16.545,0.15,39.71,0.037326,7.697247498,17.21828082
16.582,0.15,39.71,0.037326,7.697247498,17.21828082
16.625,0.16,39.71,0.0398144,7.949683033,17.78296396
16.662,0.13,39.71,0.0323492,7.165747449,16.0293471
16.699,0.14,39.71,0.0348376,7.43624756,16.63443962
16.737,0.14,39.71,0.0348376,7.43624756,16.63443962
16.774,0.14,39.71,0.0348376,7.43624756,16.63443962
16.811,0.17,39.71,0.0423028,8.194345708,18.33025969
16.847,0.03,39.71,0.0074652,3.442313729,7.700249273
16.885,0.1,39.71,0.024884,6.284776265,14.05866742
16.922,0.11,39.71,0.0273724,6.591528955,14.74485478
16.959,0.12,39.71,0.0298608,6.884627458,15.40049855
16.997,0.09,39.71,0.0223956,5.962262274,13.33722297
17.034,0.14,39.71,0.0348376,7.43624756,16.63443962
17.071,0.14,39.71,0.0348376,7.43624756,16.63443962
17.107,0.08,39.71,0.0199072,5.621274781,12.57445441
17.145,0.06,39.71,0.0149304,4.868166762,10.88979696
17.195,0.11,39.71,0.0273724,6.591528955,14.74485478
17.231,0.11,39.71,0.0273724,6.591528955,14.74485478
17.269,0.11,39.71,0.0273724,6.591528955,14.74485478
17.306,0.08,39.71,0.0199072,5.621274781,12.57445441
17.343,0.04,39.71,0.0099536,3.974841516,8.891481981
17.381,0.09,39.71,0.0223956,5.962262274,13.33722297
17.418,0.09,39.71,0.0223956,5.962262274,13.33722297
17.455,0.09,39.71,0.0223956,5.962262274,13.33722297
17.492,0.05,39.71,0.012442,4.444007915,9.940979066
17.529,0.11,39.71,0.0273724,6.591528955,14.74485478
17.566,0.06,39.71,0.0149304,4.868166762,10.88979696
17.604,0.06,39.71,0.0149304,4.868166762,10.88979696
17.641,0.07,39.71,0.0174188,5.258221076,11.76232505
17.678,0.03,39.71,0.0074652,3.442313729,7.700249273
17.715,0.03,39.71,0.0074652,3.442313729,7.700249273
17.757,0.06,39.71,0.0149304,4.868166762,10.88979696
17.794,0.03,39.71,0.0074652,3.442313729,7.700249273
17.831,0.03,39.71,0.0074652,3.442313729,7.700249273
17.868,0.05,39.71,0.012442,4.444007915,9.940979066
17.905,0.03,39.71,0.0074652,3.442313729,7.700249273
17.943,0.04,39.71,0.0099536,3.974841516,8.891481981
17.98,0.04,39.71,0.0099536,3.974841516,8.891481981
18.018,0.01,39.71,0.0024884,1.987420758,4.445740991
18.055,0.04,39.71,0.0099536,3.974841516,8.891481981
18.092,0.07,39.71,0.0174188,5.258221076,11.76232505
18.129,0.05,39.71,0.012442,4.444007915,9.940979066
18.166,0.04,39.71,0.0099536,3.974841516,8.891481981
18.203,0.05,39.71,0.012442,4.444007915,9.940979066
18.241,0.04,39.71,0.0099536,3.974841516,8.891481981
18.278,0.04,39.71,0.0099536,3.974841516,8.891481981
18.315,0.05,39.71,0.012442,4.444007915,9.940979066
18.353,0.03,39.71,0.0074652,3.442313729,7.700249273
18.39,0.04,39.71,0.0099536,3.974841516,8.891481981
18.426,0.04,39.71,0.0099536,3.974841516,8.891481981
18.464,0.04,39.71,0.0099536,3.974841516,8.891481981
18.501,0.03,39.71,0.0074652,3.442313729,7.700249273
18.538,0.07,39.71,0.0174188,5.258221076,11.76232505
18.576,0.05,39.71,0.012442,4.444007915,9.940979066
18.613,0.04,39.71,0.0099536,3.974841516,8.891481981
18.65,0.08,39.71,0.0199072,5.621274781,12.57445441
18.688,0.09,39.71,0.0223956,5.962262274,13.33722297
18.724,0.11,39.71,0.0273724,6.591528955,14.74485478
18.762,0.09,39.71,0.0223956,5.962262274,13.33722297
18.799,0.15,39.71,0.037326,7.697247498,17.21828082
18.836,0.11,39.71,0.0273724,6.591528955,14.74485478
18.892,0.1,39.71,0.024884,6.284776265,14.05866742
18.929,0.15,39.71,0.037326,7.697247498,17.21828082
18.967,0.14,39.71,0.0348376,7.43624756,16.63443962
19.005,0.13,39.71,0.0323492,7.165747449,16.0293471
19.043,0.12,39.71,0.0298608,6.884627458,15.40049855
19.081,0.11,39.71,0.0273724,6.591528955,14.74485478
19.118,0.13,39.71,0.0323492,7.165747449,16.0293471
19.155,0.13,39.71,0.0323492,7.165747449,16.0293471
19.193,0.12,39.71,0.0298608,6.884627458,15.40049855
19.231,0.12,39.71,0.0298608,6.884627458,15.40049855
19.268,0.13,39.71,0.0323492,7.165747449,16.0293471
19.306,0.1,39.71,0.024884,6.284776265,14.05866742
19.344,0.11,39.71,0.0273724,6.591528955,14.74485478
19.382,0.08,39.71,0.0199072,5.621274781,12.57445441
19.419,0.08,39.71,0.0199072,5.621274781,12.57445441
19.457,0.07,39.71,0.0174188,5.258221076,11.76232505
19.494,0.1,39.71,0.024884,6.284776265,14.05866742
19.532,0.12,39.71,0.0298608,6.884627458,15.40049855
19.569,0.12,39.71,0.0298608,6.884627458,15.40049855
19.607,0.12,39.71,0.0298608,6.884627458,15.40049855
19.645,0.12,39.71,0.0298608,6.884627458,15.40049855
19.683,0.11,39.71,0.0273724,6.591528955,14.74485478
19.72,0.12,39.71,0.0298608,6.884627458,15.40049855
19.758,0.12,39.71,0.0298608,6.884627458,15.40049855
19.795,0.1,39.71,0.024884,6.284776265,14.05866742
19.833,0.1,39.71,0.024884,6.284776265,14.05866742
